date,value
2018-01-01,62.1753246753
2018-01-02,62.1753246753
2018-01-03,62.5
2018-01-04,62.8246753247
2018-01-05,62.8246753247
2018-01-06,63.1493506494
2018-01-07,63.474025974
2018-01-08,63.7987012987
2018-01-09,64.1233766234
2018-01-10,64.7727272727
2018-01-11,64.7727272727
2018-01-12,64.7727272727
2018-01-13,65.0974025974
2018-01-14,65.4220779221
2018-01-15,65.7467532468
2018-01-16,65.7467532468
2018-01-17,66.0714285714
2018-01-18,66.3961038961
2018-01-19,66.7207792208
2018-01-20,67.0454545455
2018-01-21,67.6948051948
2018-01-22,68.3441558442
2018-01-23,68.6688311688
2018-01-24,68.6688311688
2018-01-25,68.9935064935
2018-01-26,68.9935064935
2018-01-27,68.9935064935
2018-01-28,69.6428571429
2018-01-29,69.6428571429
2018-01-30,69.9675324675
2018-01-31,69.9675324675
2018-02-01,69.9675324675
2018-02-02,69.9675324675
2018-02-03,69.9675324675
2018-02-04,70.2922077922
2018-02-05,70.2922077922
2018-02-06,70.2922077922
2018-02-07,70.2922077922
2018-02-08,70.2922077922
2018-02-09,70.2922077922
2018-02-10,70.2922077922
2018-02-11,70.2922077922
2018-02-12,70.2922077922
2018-02-13,70.2922077922
2018-02-14,70.6168831169
2018-02-15,70.6168831169
2018-02-16,70.6168831169
2018-02-17,70.6168831169
2018-02-18,70.6168831169
2018-02-19,70.6168831169
2018-02-20,70.9415584416
2018-02-21,70.9415584416
2018-02-22,71.2662337662
2018-02-23,71.2662337662
2018-02-24,71.2662337662
2018-02-25,71.5909090909
2018-02-26,71.5909090909
2018-02-27,71.5909090909
2018-02-28,71.5909090909
2018-03-01,71.5909090909
2018-03-02,71.5909090909
2018-03-03,71.5909090909
2018-03-04,71.5909090909
2018-03-05,71.5909090909
2018-03-06,71.5909090909
2018-03-07,71.5909090909
2018-03-08,71.2662337662
2018-03-09,71.2662337662
2018-03-10,71.2662337662
2018-03-11,71.2662337662
2018-03-12,70.9415584416
2018-03-13,70.6168831169
2018-03-14,70.6168831169
2018-03-15,70.2922077922
2018-03-16,70.2922077922
2018-03-17,69.6428571429
2018-03-18,69.6428571429
2018-03-19,69.3181818182
2018-03-20,69.3181818182
2018-03-21,69.3181818182
2018-03-22,68.9935064935
2018-03-23,68.9935064935
2018-03-24,68.6688311688
2018-03-25,68.3441558442
2018-03-26,68.0194805195
2018-03-27,67.3701298701
2018-03-28,67.0454545455
2018-03-29,66.7207792208
2018-03-30,66.7207792208
2018-03-31,66.3961038961
2018-04-01,66.0714285714
2018-04-02,66.0714285714
2018-04-03,65.7467532468
2018-04-04,65.4220779221
2018-04-05,64.4480519481
2018-04-06,64.1233766234
2018-04-07,63.474025974
2018-04-08,62.8246753247
2018-04-09,62.5
2018-04-10,62.5
2018-04-11,61.8506493506
2018-04-12,61.8506493506
2018-04-13,61.525974026
2018-04-14,61.2012987013
2018-04-15,60.8766233766
2018-04-16,59.9025974026
2018-04-17,59.5779220779
2018-04-18,58.6038961039
2018-04-19,57.9545454545
2018-04-20,57.3051948052
2018-04-21,56.6558441558
2018-04-22,56.3311688312
2018-04-23,56.0064935065
2018-04-24,55.0324675325
2018-04-25,54.3831168831
2018-04-26,54.0584415584
2018-04-27,53.0844155844
2018-04-28,52.4350649351
2018-04-29,52.1103896104
2018-04-30,51.461038961
2018-05-01,50.8116883117
2018-05-02,50.1623376623
2018-05-03,49.8376623377
2018-05-04,48.8636363636
2018-05-05,48.538961039
2018-05-06,47.5649350649
2018-05-07,46.5909090909
2018-05-08,46.2662337662
2018-05-09,45.6168831169
2018-05-10,45.2922077922
2018-05-11,44.6428571429
2018-05-12,43.6688311688
2018-05-13,43.3441558442
2018-05-14,42.3701298701
2018-05-15,41.7207792208
2018-05-16,41.0714285714
2018-05-17,40.4220779221
2018-05-18,40.0974025974
2018-05-19,39.4480519481
2018-05-20,39.1233766234
2018-05-21,38.1493506494
2018-05-22,38.1493506494
2018-05-23,37.5
2018-05-24,36.8506493506
2018-05-25,36.2012987013
2018-05-26,35.5519480519
2018-05-27,35.2272727273
2018-05-28,34.9025974026
2018-05-29,34.2532467532
2018-05-30,34.2532467532
2018-05-31,33.9285714286
2018-06-01,33.6038961039
2018-06-02,33.2792207792
2018-06-03,32.9545454545
2018-06-04,32.9545454545
2018-06-05,32.3051948052
2018-06-06,31.9805194805
2018-06-07,31.6558441558
2018-06-08,31.3311688312
2018-06-09,31.0064935065
2018-06-10,30.6818181818
2018-06-11,30.6818181818
2018-06-12,30.0324675325
2018-06-13,29.7077922078
2018-06-14,29.3831168831
2018-06-15,29.3831168831
2018-06-16,28.7337662338
2018-06-17,28.0844155844
2018-06-18,27.7597402597
2018-06-19,27.7597402597
2018-06-20,27.7597402597
2018-06-21,27.7597402597
2018-06-22,27.4350649351
2018-06-23,26.7857142857
2018-06-24,26.461038961
2018-06-25,26.461038961
2018-06-26,26.1363636364
2018-06-27,25.8116883117
2018-06-28,25.8116883117
2018-06-29,25.8116883117
2018-06-30,25.8116883117
2018-07-01,25.487012987
2018-07-02,25.487012987
2018-07-03,25.487012987
2018-07-04,25.487012987
2018-07-05,25.487012987
2018-07-06,25.487012987
2018-07-07,25.487012987
2018-07-08,25.487012987
2018-07-09,25.487012987
2018-07-10,25.487012987
2018-07-11,25.487012987
2018-07-12,25.487012987
2018-07-13,25.487012987
2018-07-14,25.487012987
2018-07-15,25.487012987
2018-07-16,25.487012987
2018-07-17,25.8116883117
2018-07-18,25.8116883117
2018-07-19,25.8116883117
2018-07-20,26.1363636364
